,V1
COMMERCIAL BKRY_Night|DELI.LUNCH SNACKS_Night,1
COMMERCIAL BKRY_Night|DELI MEATS_Night,1
COMMERCIAL BKRY_Night|DELI YOGURT.GELATIN_Night,1
COMMERCIAL BKRY_Night|MEAT CHEESE. CREAM. ATES. AND HAM   _Night,1
COMMERCIAL BKRY_Night|MILK_Night,1
COMMERCIAL BKRY_Night|SEAFOOD_Ticket_Size,1
COMMERCIAL BKRY_Night|SEAFOOD_Night,1
COMMERCIAL BKRY_Night|TORTILLAS_Night,1
CONDIMENTS_Sale_Total_Qty|CONDIMENTS_Trans_Count,1
CONDIMENTS_Sale_Total_Qty|CONDIMENTS_Sale_Net_Value,1
CONDIMENTS_Trans_Count|CONDIMENTS_Sale_Total_Qty,1
CONDIMENTS_Trans_Count|CONDIMENTS_Ticket_Size,1
CONDIMENTS_Trans_Count|CONDIMENTS_Afternoon,1
CONDIMENTS_Basket_Size|Pcp.Night,1
CONDIMENTS_Sale_Net_Value|CONDIMENTS_Sale_Total_Qty,1
